Index,Year,Month,region,property_type,median_dom,median_sale_price
20513,2012,1,Tehama County,All Residential,208.0,88700.0
20514,2012,1,Tehama County,Single Family Residential,208.0,88700.0
14768,2012,8,San Joaquin County,Townhouse,60.0,88950.0
19738,2013,11,Stanislaus County,Condo/Co-op,8.0,89000.0
19788,2014,10,Stanislaus County,Townhouse,123.0,89000.0
4600,2015,2,Kern County,Condo/Co-op,67.0,89000.0
14844,2013,12,San Joaquin County,Condo/Co-op,23.0,89000.0
9459,2012,6,Nevada County,Townhouse,0.0,89000.0
6365,2012,8,Madera County,Condo/Co-op,326.0,89450.0
3571,2014,4,Fresno County,Condo/Co-op,21.0,89500.0
14780,2012,11,San Joaquin County,Condo/Co-op,16.0,89600.0
19695,2013,2,Stanislaus County,Condo/Co-op,18.0,89900.0
1171,2012,3,Butte County,Multi-Family (2-4 Unit),70.0,90000.0
11783,2012,1,Sacramento County,Townhouse,47.0,90000.0
20989,2014,4,Tulare County,Condo/Co-op,49.0,90000.0
19731,2013,9,Stanislaus County,Townhouse,1.0,90000.0
4886,2020,5,Kern County,Condo/Co-op,34.0,90000.0
8004,2018,4,Merced County,Condo/Co-op,126.0,90000.0
1258,2013,10,Butte County,Multi-Family (2-4 Unit),40.0,90000.0
15109,2018,9,San Joaquin County,Townhouse,75.0,90000.0
6542,2016,12,Madera County,Condo/Co-op,2.0,90000.0
11841,2013,1,Sacramento County,Townhouse,29.0,90000.0
3474,2012,3,Fresno County,Multi-Family (2-4 Unit),19.0,90000.0
6562,2017,6,Madera County,Condo/Co-op,28.0,90000.0
5271,2013,8,Lake County,Multi-Family (2-4 Unit),69.0,90299.0
822,2012,8,Amador County,Townhouse,0.0,90500.0
20539,2013,1,Tehama County,Single Family Residential,64.0,91000.0
3584,2014,7,Fresno County,Condo/Co-op,59.0,91000.0
20540,2013,1,Tehama County,All Residential,64.0,91000.0
924,2015,10,Amador County,Condo/Co-op,0.0,91000.0
5707,2020,6,Lassen County,All Residential,106.0,91500.0
5708,2020,6,Lassen County,Single Family Residential,106.0,91500.0
11834,2012,11,Sacramento County,Condo/Co-op,24.0,91750.0
19741,2013,12,Stanislaus County,Townhouse,5.0,92000.0
3525,2013,4,Fresno County,Condo/Co-op,49.0,92000.0
11950,2014,10,Sacramento County,Townhouse,56.0,92000.0
4469,2012,8,Kern County,Multi-Family (2-4 Unit),31.0,92000.0
7951,2017,2,Merced County,Condo/Co-op,16.0,92000.0
18707,2013,1,Solano County,Condo/Co-op,19.0,92200.0
14746,2012,3,San Joaquin County,Multi-Family (2-4 Unit),48.0,92500.0
3522,2013,3,Fresno County,Condo/Co-op,54.0,92500.0
3639,2015,9,Fresno County,Condo/Co-op,44.0,92742.0
15034,2017,6,San Joaquin County,Townhouse,128.0,93000.0
3587,2014,8,Fresno County,Condo/Co-op,55.0,93000.0
9453,2012,5,Nevada County,Townhouse,0.0,93000.0
1238,2013,6,Butte County,Townhouse,154.0,93500.0
9498,2013,3,Nevada County,Townhouse,0.0,93500.0
4562,2014,5,Kern County,Condo/Co-op,27.0,93500.0
5682,2017,11,Lassen County,Single Family Residential,60.0,93900.0
5681,2017,11,Lassen County,All Residential,60.0,93900.0
1200,2012,10,Butte County,Condo/Co-op,104.0,94000.0
20555,2013,9,Tehama County,Single Family Residential,63.0,94000.0
20556,2013,9,Tehama County,All Residential,63.0,94000.0
20526,2012,7,Tehama County,All Residential,35.0,94450.0
20525,2012,7,Tehama County,Single Family Residential,35.0,94450.0
11003,2019,7,Placer County,Townhouse,22.0,94500.0
899,2014,12,Amador County,Condo/Co-op,63.0,94500.0
1229,2013,4,Butte County,Condo/Co-op,50.0,94750.0
18693,2012,9,Solano County,Condo/Co-op,21.0,94888.5
5699,2019,5,Lassen County,All Residential,466.0,95000.0
10644,2013,3,Placer County,Townhouse,26.0,95000.0
5700,2019,5,Lassen County,Single Family Residential,466.0,95000.0
7764,2013,2,Merced County,Multi-Family (2-4 Unit),324.0,95000.0
7710,2012,1,Merced County,Multi-Family (2-4 Unit),29.0,95000.0
4550,2014,3,Kern County,Townhouse,62.0,95000.0
18690,2012,8,Solano County,Condo/Co-op,26.0,95000.0
3537,2013,7,Fresno County,Condo/Co-op,24.0,95000.0
4637,2015,10,Kern County,Townhouse,22.0,95000.0
10671,2013,8,Placer County,Townhouse,10.0,95000.0
19718,2013,6,Stanislaus County,Condo/Co-op,31.0,95000.0
11845,2013,1,Sacramento County,Condo/Co-op,13.0,95000.0
4832,2019,5,Kern County,Townhouse,19.0,95000.0
4547,2014,2,Kern County,Condo/Co-op,45.0,95000.0
